Date,Flight_No,Dep_Airport,Dep_Time_UTC,Arr_Airport,Arr_Time_UTC,Aircraft_Type,Aircraft_Reg,Block_Time,Operated_As,Home_Base
01/01/26,6327,DEL,02:55,DED,03:42,320,VTIKS,00:47,PIC,DEL
01/01/26,2312,DED,04:25,DEL,05:18,320,VTIKS,00:53,PIC,DEL
01/01/26,2230,DEL,07:16,KNU,08:27,320,VTIJG,01:11,PIC,DEL
01/01/26,2158,KNU,09:01,DEL,10:20,320,VTIJG,01:19,PIC,DEL
05/01/26,6836,DEL,01:24,CCU,03:27,321,VTNCK,02:03,PIC,DEL
05/01/26,5077,CCU,04:16,DEL,06:36,321,VTNCK,02:20,PIC,DEL
06/01/26,6843,DEL,06:37,UDR,07:54,321,VTICX,01:17,PIC,DEL
06/01/26,6844,UDR,08:28,DEL,09:41,321,VTICX,01:13,PIC,DEL
06/01/26,6845,DEL,11:00,STV,12:42,321,VTICX,01:42,PIC,DEL
06/01/26,6846,STV,13:11,DEL,14:42,321,VTICX,01:31,PIC,DEL
07/01/26,519,DEL,18:11,BOM,20:23,321,VTNCJ,02:12,DHF,DEL
07/01/26,6045,BOM,21:24,DEL,23:19,321,VTNCJ,01:55,PIC,DEL
11/01/26,2052,DEL,06:36,HYD,08:45,321,VTICH,02:09,PIC,DEL
11/01/26,2073,HYD,10:23,TRZ,12:00,320,VTIFQ,01:37,PIC,DEL
12/01/26,770,TRZ,23:57,DEL,02:49,320,VTIXN,02:52,PIC,DEL
15/01/26,5037,DEL,23:02,JAI,23:45,321,VTIMJ,00:43,PIC,DEL
16/01/26,752,JAI,00:22,HYD,02:18,321,VTIMJ,01:56,PIC,DEL
17/01/26,424,HYD,00:19,DEL,02:21,321,VTNHB,02:02,PIC,DEL
17/01/26,6328,DEL,04:41,BOM,07:26,321,VTNCD,02:45,PIC,DEL
17/01/26,615,BOM,08:31,DEL,10:39,321,VTNCD,02:08,PIC,DEL
19/01/26,6731,DEL,08:55,RDP,10:49,321,VTIUP,01:54,PIC,DEL
19/01/26,6732,RDP,11:17,DEL,13:43,321,VTIUP,02:26,PIC,DEL
19/01/26,6733,DEL,14:48,AMD,16:26,320,VTIIV,01:38,PIC,DEL
19/01/26,6794,AMD,18:07,BOM,19:53,320,VTISY,01:46,PIC,DEL
20/01/26,359,BOM,11:02,DEL,13:06,321,VTNCJ,02:04,DHF,DEL
23/01/26,6762,DEL,07:50,IXJ,09:19,321,VTIBH,01:29,PIC,DEL
23/01/26,2044,IXJ,10:44,DEL,12:31,321,VTIBH,01:47,PIC,DEL
24/01/26,6188,DEL,07:34,BLR,10:13,321,VTNCD,02:39,DHF,DEL
24/01/26,451,BLR,11:55,LKO,14:30,320,VTISU,02:35,PIC,DEL
24/01/26,6354,LKO,15:30,BLR,18:04,320,VTIPF,02:34,PIC,DEL
25/01/26,6034,BLR,12:30,DEL,15:24,321,VTNCJ,02:54,DHF,DEL
26/01/26,2145,DEL,10:51,CCJ,13:48,321,VTIMH,02:57,PIC,DEL
26/01/26,2773,CCJ,14:24,DEL,17:26,321,VTIMH,03:02,DHF,DEL
27/01/26,759,DEL,12:02,IXC,12:58,321,VTILL,00:56,PIC,DEL
27/01/26,760,IXC,13:38,DEL,14:50,321,VTILL,01:12,PIC,DEL
27/01/26,761,DEL,15:29,BBI,17:45,321,VTILL,02:16,PIC,DEL
27/01/26,806,BBI,18:13,DEL,20:35,321,VTILL,02:22,PIC,DEL
30/01/26,1103,DEL,07:11,DAC,09:25,321,VTIRV,02:14,PIC,DEL
30/01/26,1104,DAC,10:24,DEL,13:13,321,VTIRV,02:49,PIC,DEL
31/01/26,6711,DEL,09:53,CCU,11:56,321,VTNCY,02:03,PIC,DEL
31/01/26,6721,CCU,12:39,DEL,15:07,321,VTNCY,02:28,PIC,DEL
31/01/26,6722,DEL,15:54,CCU,18:04,321,VTNCY,02:10,PIC,DEL